GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-batch-pg-mongo,com.tuempresa.batch.domain.postgres,CustomerEntity.CustomerEntityBuilder,12,42,0,0,0,1,1,7,1,7
spring-batch-pg-mongo,com.tuempresa.batch.domain.postgres,CustomerEntity,0,60,0,0,0,13,0,13,0,13
spring-batch-pg-mongo,com.tuempresa.batch.config,DataSourceConfig,0,21,0,0,0,9,0,5,0,5
spring-batch-pg-mongo,com.tuempresa.batch.domain.mongo,CustomerDoc.CustomerDocBuilder,12,42,0,0,0,1,1,7,1,7
spring-batch-pg-mongo,com.tuempresa.batch.domain.mongo,CustomerDoc,0,60,0,0,0,13,0,13,0,13
spring-batch-pg-mongo,com.tuempresa.batch.mapping,CustomerMapper,2,22,2,2,0,4,2,3,0,3
spring-batch-pg-mongo,com.tuempresa.batch.mapping,CustomerMapperImpl,2,45,2,2,1,10,2,2,0,2
spring-batch-pg-mongo,com.tuempresa.batch.job,BatchConfig,0,65,0,0,0,23,0,6,0,6
spring-batch-pg-mongo,com.tuempresa.batch.controller,BatchController,2,51,1,1,0,14,1,2,0,2
spring-batch-pg-mongo,com.tuempresa.batch,BatchApplication,5,3,0,0,2,1,1,1,1,1
